JCR Year and Edition: 2012 Social Science

Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
POLIT COMMUN;1058-4609;889;2.415;2.330;0.238;21;9.3;0.00266;1.479;
RES LANG SOC INTERAC;0835-1813;649;2.387;2.354;2.286;21;8.8;0.00220;1.596;
INT J ADVERT;0265-0487;652;2.311;2.470;0.243;37;5.1;0.00143;0.550;
HUM COMMUN RES;0360-3989;1554;2.082;2.461;0.190;21;>10.0;0.00261;1.169;
J HEALTH COMMUN;1081-0730;1614;2.079;2.307;0.232;112;5.8;0.00503;0.818;
COMMUN RES;0093-6502;1970;2.028;2.486;0.278;36;>10.0;0.00396;1.310;
J COMMUN;0021-9916;2647;2.011;3.627;0.435;62;9.8;0.00773;2.087;
INTERACT STUD;1572-0373;225;1.842;1.264;0.500;20;4.1;0.00083;0.449;
NEW MEDIA SOC;1461-4448;1156;1.824;2.298;0.221;77;4.7;0.00536;0.984;
J ADVERTISING RES;0021-8499;1532;1.788;1.472;0.595;37;>10.0;0.00187;0.495;
J COMPUT-MEDIAT COMM;1083-6101;1868;1.778;4.748;0.188;32;5.8;0.00787;2.029;
PUBLIC UNDERST SCI;0963-6625;1144;1.724;2.473;0.197;61;7.3;0.00300;0.838;
TELECOMMUN POLICY;0308-5961;961;1.594;1.672;0.466;73;5.5;0.00177;0.353;
PUBLIC OPIN QUART;0033-362X;3269;1.522;2.941;0.205;39;>10.0;0.00707;1.839;
J LANG SOC PSYCHOL;0261-927X;559;1.490;1.349;0.250;24;9.3;0.00118;0.536;
SCI COMMUN;1075-5470;550;1.436;2.421;0.000;26;7.2;0.00136;0.822;
DISCOURSE SOC;0957-9265;872;1.410;1.444;0.062;32;9.9;0.00217;0.822;
INT J PRESS/POLIT;1940-1612;160;1.396;1.670;0.136;22;3.3;0.00136;0.884;
MANAGE COMMUN Q;0893-3189;591;1.275;1.447;0.257;35;8.8;0.00117;0.546;
MEDIA PSYCHOL;1521-3269;582;1.250;1.856;0.200;20;6.9;0.00173;0.752;
HEALTH COMMUN;1041-0236;1081;1.221;1.744;0.269;78;5.8;0.00352;0.645;
COMMUN THEOR;1050-3293;891;1.195;2.063;0.143;21;8.7;0.00235;1.210;
