JCR Year and Edition: 2011 Social Science

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
CYBERPSYCHOL BEHAV;1094-9313;2438;2.710;2.732;;0;5.9;0.00679;0.812;
COMMUN MONOGR;0363-7751;1037;2.540;1.984;0.042;24;>10.0;0.00190;0.850;
J COMMUN;0021-9916;2503;2.452;3.841;0.228;57;9.8;0.00744;1.949;
PUBLIC OPIN QUART;0033-362X;3546;2.247;4.020;0.235;51;>10.0;0.00817;2.206;
J COMPUT-MEDIAT COMM;1083-6101;1744;2.172;4.568;0.095;21;4.9;0.00801;1.747;
SCI COMMUN;1075-5470;493;2.077;2.022;0.105;19;6.6;0.00118;0.691;
COMMUN RES;0093-6502;1908;2.014;2.350;0.333;36;>10.0;0.00314;1.049;
INT J ADVERT;0265-0487;558;1.903;1.920;0.469;32;6.0;0.00082;0.325;
PUBLIC UNDERST SCI;0963-6625;1057;1.866;2.703;0.357;56;7.0;0.00292;0.926;
HUM COMMUN RES;0360-3989;1565;1.836;2.667;0.087;23;>10.0;0.00292;1.262;
J HEALTH COMMUN;1081-0730;1419;1.608;2.351;0.798;109;5.6;0.00483;0.864;
TELECOMMUN POLICY;0308-5961;822;1.539;1.680;0.066;76;5.9;0.00190;0.420;
COMMUN THEOR;1050-3293;779;1.476;2.144;0.190;21;8.0;0.00225;1.104;
J ADVERTISING RES;0021-8499;1904;1.403;1.575;0.163;49;>10.0;0.00136;0.358;
MEDIA PSYCHOL;1521-3269;507;1.400;1.925;0.105;19;5.9;0.00211;0.863;
NEW MEDIA SOC;1461-4448;889;1.394;1.782;0.128;78;5.2;0.00357;0.696;
J SOC PERS RELAT;0265-4075;1749;1.287;1.630;0.123;57;>10.0;0.00351;0.709;
POLIT COMMUN;1058-4609;920;1.244;2.000;0.421;19;9.7;0.00248;1.250;
RES LANG SOC INTERAC;0835-1813;479;1.226;1.707;0.118;17;>10.0;0.00117;0.850;
MEDIA CULT SOC;0163-4437;738;1.140;1.275;0.182;55;8.3;0.00250;0.659;
INTERACT STUD;1572-0373;152;1.105;1.049;0.263;19;4.4;0.00072;0.382;
INT J PRESS/POLIT;1940-1612;121;1.065;1.578;0.667;24;2.8;0.00108;0.921;
WRIT COMMUN;0741-0883;387;1.062;1.423;0.000;16;>10.0;0.00109;0.764;
EUR J COMMUN;0267-3231;418;1.050;1.265;0.059;17;7.9;0.00137;0.732;
J LANG SOC PSYCHOL;0261-927X;453;1.039;1.032;0.000;23;>10.0;0.00107;0.470;
TECH COMMUN-STC;0049-3155;284;1.027;0.778;0.250;12;8.1;0.00039;0.197;
J PUBLIC RELAT RES;1062-726X;328;1.022;;0.105;19;6.8;0.00112;;
INT J PUBLIC OPIN R;0954-2892;464;1.000;1.222;0.038;26;8.0;0.00160;0.692;
J ADVERTISING;0091-3367;1885;0.985;2.092;0.125;32;>10.0;0.00244;0.724;
HEALTH COMMUN;1041-0236;968;0.971;1.763;0.108;74;5.7;0.00293;0.549;
DISCOURSE COMMUN;1750-4813;104;0.939;1.123;0.222;18;4.1;0.00078;0.652;
J BROADCAST ELECTRON;0883-8151;1035;0.892;1.159;0.100;30;>10.0;0.00173;0.519;
MANAGE COMMUN Q;0893-3189;517;0.875;;0.862;29;7.8;0.00122;;
PERS RELATIONSHIP;1350-4126;1238;0.859;1.642;0.140;43;9.6;0.00259;0.803;
MASS COMMUN SOC;1520-5436;426;0.827;;0.184;38;7.8;0.00086;;
DISCOURSE STUD;1461-4456;438;0.787;1.227;0.300;30;6.1;0.00193;0.646;
PUBLIC RELAT REV;0363-8111;718;0.726;0.882;0.043;93;6.9;0.00134;0.200;
ENVIRON COMMUN;1752-4032;80;0.700;1.013;0.067;30;;0.00022;0.159;
INFORM COMMUN SOC;1369-118X;395;0.700;;0.109;55;4.6;0.00218;;
J APPL COMMUN RES;0090-9882;316;0.680;0.938;0.000;28;7.9;0.00098;0.474;
DISCOURSE SOC;0957-9265;795;0.672;1.438;0.152;33;9.5;0.00215;0.803;
LANG COMMUN;0271-5309;516;0.667;0.795;0.179;28;9.4;0.00083;0.403;
IEEE T PROF COMMUN;0361-1434;295;0.660;0.870;0.167;24;6.7;0.00053;0.234;
TEXT TALK;1860-7330;146;0.643;0.887;0.061;33;3.8;0.00163;0.555;
J BUS TECH COMMUN;1050-6519;147;0.562;0.718;0.000;17;8.4;0.00037;0.259;
J MASS MEDIA ETHICS;0890-0523;150;0.562;;0.067;15;6.7;0.00039;;
NARRAT INQ;1387-6740;251;0.556;1.323;0.000;28;6.0;0.00116;0.657;
J MASS COMMUN Q;1077-6990;723;0.542;0.847;0.056;36;9.5;0.00131;0.364;
JOURNALISM STUD;1461-670X;411;0.536;;0.196;51;5.5;0.00161;;
J MEDIA ECON;0899-7764;150;0.500;0.614;0.231;13;8.8;0.00027;0.254;
COMUNICAR;1134-3478;99;0.470;;0.000;40;;0.00007;;
VISUAL COMMUN-US;1470-3572;114;0.447;;0.000;27;6.4;0.00035;;
ASIAN J COMMUN;0129-2986;123;0.407;;0.059;34;6.3;0.00037;;
GAMES CULT;1555-4120;135;0.395;;0.000;22;5.2;0.00081;;
CHIN J COMMUN;1754-4750;24;0.391;0.393;0.000;24;;0.00017;0.149;
Q J SPEECH;0033-5630;408;0.356;0.520;0.000;17;>10.0;0.00034;0.183;
INT J COMMUN-US;1932-8036;126;0.350;;0.067;105;3.7;0.00093;;
ARGUMENTATION;0920-427X;197;0.321;;0.143;28;9.9;0.00046;;
TRANSLATOR;1355-6509;79;0.300;0.333;0.118;17;;0.00032;0.241;
J AFR MEDIA STUD;2040-199X;31;0.289;0.289;0.900;20;;0.00010;0.116;
CRIT STUD MEDIA COMM;1529-5036;228;0.288;0.732;0.083;24;7.2;0.00080;0.355;
