JCR Year and Edition: 2009 Social Science

Abbreviated Journal Title;ISSN;{2009} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2009} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
J COMPUT-MEDIAT COMM;1083-6101;1279;3.639;;0.017;60;4.6;0.00454;;
J COMMUN;0021-9916;2188;2.415;2.765;0.189;37;>10.0;0.00553;1.225;
HUM COMMUN RES;0360-3989;1466;2.200;2.482;0.207;29;>10.0;0.00264;1.115;
PUBLIC UNDERST SCI;0963-6625;670;1.981;2.124;0.104;48;8.1;0.00252;1.001;
CYBERPSYCHOL BEHAV;1094-9313;1940;1.591;2.472;0.150;100;5.2;0.00561;0.574;
PUBLIC OPIN QUART;0033-362X;2968;1.588;3.301;0.083;48;>10.0;0.00658;1.827;
PERS RELATIONSHIP;1350-4126;1023;1.385;1.917;0.050;40;8.8;0.00270;0.826;
COMMUN RES;0093-6502;1795;1.354;2.324;0.250;36;>10.0;0.00318;1.055;
J HEALTH COMMUN;1081-0730;1010;1.344;2.434;0.133;60;5.1;0.00441;0.822;
NEW MEDIA SOC;1461-4448;614;1.326;1.817;0.104;67;5.3;0.00292;0.642;
MEDIA PSYCHOL;1521-3269;430;1.321;1.725;0.278;18;5.5;0.00198;0.728;
DISCOURSE SOC;0957-9265;786;1.300;1.623;0.000;30;8.6;0.00201;0.638;
POLIT COMMUN;1058-4609;742;1.282;2.018;0.174;23;8.2;0.00256;1.080;
HEALTH COMMUN;1041-0236;729;1.277;1.601;0.113;71;6.2;0.00222;0.502;
COMMUN THEOR;1050-3293;657;1.208;2.376;0.091;22;7.2;0.00214;0.945;
COMMUN MONOGR;0363-7751;924;1.180;1.966;0.222;18;>10.0;0.00187;0.776;
HARV INT J PRESS/POL;1081-180X;296;1.167;1.627;;0;6.3;0.00140;0.808;
J ADVERTISING;0091-3367;1566;1.165;2.154;0.147;34;>10.0;0.00263;0.723;
INT J ADVERT;0265-0487;392;1.091;;0.303;33;8.2;0.00067;;
TECH COMMUN-STC;0049-3155;408;1.064;1.455;0.571;21;6.3;0.00071;0.277;
SCI COMMUN;1075-5470;332;1.054;1.745;0.158;19;6.0;0.00111;0.569;
DISCOURSE STUD;1461-4456;367;1.016;1.575;0.133;30;4.5;0.00215;0.674;
J SOC PERS RELAT;0265-4075;1507;0.969;1.438;0.053;57;>10.0;0.00304;0.622;
TELECOMMUN POLICY;0308-5961;725;0.969;1.418;0.038;53;6.6;0.00174;0.379;
J APPL COMMUN RES;0090-9882;253;0.933;1.147;0.000;31;6.8;0.00064;0.326;
RES LANG SOC INTERAC;0835-1813;434;0.903;1.153;0.588;17;>10.0;0.00090;0.601;
PUBLIC CULTURE;0899-2363;731;0.850;1.435;0.083;24;8.4;0.00260;0.952;
MANAGE COMMUN Q;0893-3189;475;0.848;;0.192;26;7.9;0.00074;;
INT J PUBLIC OPIN R;0954-2892;357;0.846;1.136;0.040;25;7.6;0.00158;0.609;
INT J PRESS/POLIT;1940-1612;18;0.833;0.833;0.136;22;;0.00020;0.535;
IEEE T PROF COMMUN;0361-1434;358;0.804;1.125;0.043;23;7.9;0.00101;0.405;
J ADVERTISING RES;0021-8499;1537;0.800;1.050;0.152;46;>10.0;0.00119;0.287;
LANG COMMUN;0271-5309;484;0.791;1.112;0.083;24;>10.0;0.00092;0.453;
INTERACT STUD;1572-0373;128;0.776;;0.368;19;3.6;0.00070;;
MEDIA CULT SOC;0163-4437;683;0.741;1.186;0.023;43;9.0;0.00179;0.457;
NARRAT INQ;1387-6740;250;0.714;1.533;0.000;20;5.1;0.00091;0.477;
EUR J COMMUN;0267-3231;367;0.700;1.356;0.143;21;7.7;0.00116;0.536;
DISCOURSE COMMUN;1750-4813;28;0.688;0.813;0.000;16;;0.00018;0.266;
TEXT TALK;1860-7330;75;0.635;0.811;0.057;35;;0.00078;0.415;
WRIT COMMUN;0741-0883;367;0.633;1.064;0.250;16;>10.0;0.00066;0.409;
PUBLIC RELAT REV;0363-8111;568;0.628;0.663;0.048;83;8.5;0.00068;0.102;
J BUS TECH COMMUN;1050-6519;114;0.545;0.573;0.000;15;8.2;0.00028;0.182;
J LANG SOC PSYCHOL;0261-927X;412;0.519;0.920;0.120;25;>10.0;0.00078;0.334;
J BROADCAST ELECTRON;0883-8151;945;0.449;1.167;0.000;36;>10.0;0.00172;0.511;
J MEDIA ECON;0899-7764;152;0.429;0.769;0.500;12;8.1;0.00031;0.229;
Q J SPEECH;0033-5630;436;0.395;0.593;0.050;20;>10.0;0.00009;0.046;
INT J CONFL MANAGE;1044-4068;384;0.389;0.975;0.000;20;9.5;0.00059;0.357;
J MASS COMMUN Q;1077-6990;703;0.362;1.157;0.000;33;7.9;0.00212;0.470;
CRIT STUD MEDIA COMM;1529-5036;172;0.333;0.712;0.000;24;6.3;0.00081;0.352;
ENVIRON COMMUN;1752-4032;8;0.185;0.222;0.111;18;;0.00001;0.011;
JAVNOST-PUBLIC;1318-3222;101;0.180;0.262;0.036;28;6.8;0.00025;0.080;
MEDIA INT AUST;1329-878X;75;0.153;;0.020;50;;0.00031;;
TRANSLATOR;1355-6509;58;0.107;;;;;0.00007;;
TIJDSCHR COMMUNWET;1384-6930;15;0.026;;0.000;18;;0.00006;;
COMUNICAR;1134-3478;28;0.022;;0.000;43;;0.00001;;

