JCR Year and Edition: 2004 Social Science

Abbreviated Journal Title;ISSN;{2004} Total Cites;Impact Factor;Immediacy Index;{2004} Articles;Cited Half-Life
J LEARN SCI;1050-8406;443;2.280;1.917;12;7.8;
REV EDUC RES;0034-6543;1395;1.960;0.000;14;>10.0;
J AM COLL HEALTH;0744-8481;733;1.625;0.103;29;6.3;
LEARN INSTR;0959-4752;447;1.617;0.500;30;6.0;
HEALTH EDUC RES;0268-1153;1178;1.405;0.091;66;6.3;
EDUC EVAL POLICY AN;0162-3737;400;1.342;0.062;16;8.1;
SCI EDUC;0036-8326;943;1.312;0.208;48;8.6;
AIDS EDUC PREV;0899-9546;837;1.238;0.103;58;6.8;
ADV HEALTH SCI EDUC;1382-4996;159;1.219;0.304;23;3.9;
J RES SCI TEACH;0022-4308;1266;1.202;0.106;47;9.2;
HARVARD EDUC REV;0017-8055;691;1.125;0.000;10;>10.0;
AM EDUC RES J;0002-8312;1140;1.103;0.000;21;>10.0;
READ RES QUART;0034-0553;1002;1.035;0.281;32;>10.0;
ELEM SCHOOL J;0013-5984;576;0.978;0.217;23;>10.0;
J SCHOOL HEALTH;0022-4391;894;0.872;0.070;57;7.8;
LANG LEARN;0023-8333;535;0.851;0.000;18;>10.0;
STUD HIGH EDUC;0307-5079;262;0.818;0.053;38;7.5;
GENDER EDUC;0954-0253;213;0.776;0.179;28;5.8;
J COLL STUDENT DEV;0021-9789;947;0.755;0.100;40;9.3;
SOCIOL EDUC;0038-0407;828;0.744;;;>10.0;
J EXP EDUC;0022-0973;309;0.727;0.000;16;>10.0;
J TEACH EDUC;0022-4871;344;0.727;0.000;30;8.7;
J RES MATH EDUC;0021-8251;337;0.679;0.143;14;>10.0;
J LEGAL EDUC;0022-2208;301;0.676;0.129;31;8.1;
BRIT J EDUC STUD;0007-1005;94;0.667;0.158;19;;
TEACH COLL REC;0161-4681;423;0.663;0.080;75;8.5;
INSTR SCI;0020-4277;297;0.659;0.650;20;8.7;
ACAD PSYCHIATR;1042-9670;183;0.657;0.829;41;4.0;
QUEST;0033-6297;300;0.644;0.115;26;8.3;
COMPUT EDUC;0360-1315;252;0.625;0.128;47;4.9;
J EDUC POLICY;0268-0939;178;0.625;0.054;37;4.2;
BRIT EDUC RES J;0141-1926;285;0.612;0.091;44;5.3;
J HIGH EDUC;0022-1546;489;0.593;0.192;26;>10.0;
EARLY CHILD RES Q;0885-2006;372;0.564;0.083;36;8.1;
J SOC WORK EDUC;1043-7797;232;0.551;0.222;9;7.4;
MINERVA;0026-4695;171;0.538;0.087;23;>10.0;
RES HIGH EDUC;0361-0365;476;0.525;0.025;40;9.8;
EDUC ADMIN QUART;0013-161X;216;0.523;0.111;27;9.1;
THEOR PRACT;0040-5841;265;0.507;0.000;35;>10.0;
J LIT RES;1086-296X;92;0.500;0.000;10;;
TESOL QUART;0039-8322;476;0.489;0.000;5;>10.0;
BRIT J SOCIOL EDUC;0142-5692;282;0.488;0.119;42;5.8;
COMP EDUC REV;0010-4086;155;0.485;0.000;15;7.8;
RES TEACH ENGL;0034-527X;193;0.480;0.000;11;>10.0;
J PHILOS EDUC;0309-8249;144;0.463;0.311;45;5.0;
J TEACH PHYS EDUC;0273-5024;251;0.462;0.048;21;8.2;
PHI DELTA KAPPAN;0031-7217;667;0.461;0.064;125;7.4;
J EDUC RES;0022-0671;600;0.439;0.172;29;>10.0;
INT J SCI EDUC;0950-0693;692;0.436;0.130;92;6.6;
URBAN EDUC;0042-0859;104;0.429;0.040;25;6.3;
J MORAL EDUC;0305-7240;187;0.421;0.032;31;7.8;
