JCR Year and Edition: 2011 Social Science

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACAD MANAG LEARN EDU;1537-260X;938;4.800;4.053;0.769;26;5.1;0.00287;1.196;
LEARN INSTR;0959-4752;1954;3.732;3.727;1.220;59;6.8;0.00510;1.286;
REV EDUC RES;0034-6543;3367;3.169;5.464;0.353;17;>10.0;0.00625;2.725;
EDUC RESEARCHER;0013-189X;2479;2.931;;0.909;22;>10.0;0.00504;;
READ RES QUART;0034-0553;1442;2.697;2.573;0.316;19;>10.0;0.00271;1.434;
J RES SCI TEACH;0022-4308;3306;2.639;2.920;0.200;50;>10.0;0.00527;1.096;
COMPUT EDUC;0360-1315;3557;2.621;2.970;0.498;229;3.5;0.00985;0.600;
AM EDUC RES J;0002-8312;2386;2.393;3.094;0.350;40;>10.0;0.00496;1.816;
EDUC RES REV-NETH;1747-938X;119;2.333;;0.286;14;2.4;0.00065;;
J TEACH EDUC;0022-4871;966;2.292;2.226;0.467;30;8.7;0.00259;0.912;
INT J COMP-SUPP COLL;1556-1607;302;2.243;3.000;0.571;28;3.8;0.00134;0.769;
BRIT J EDUC TECHNOL;0007-1013;1082;2.098;1.906;0.163;98;4.6;0.00339;0.528;
ADV HEALTH SCI EDUC;1382-4996;780;2.089;2.059;0.429;49;4.5;0.00321;0.791;
J LEARN SCI;1050-8406;1141;2.000;3.081;0.786;14;8.7;0.00175;1.291;
SCI STUD READ;1088-8438;856;1.864;3.582;0.478;23;7.2;0.00287;1.721;
INSTR SCI;0020-4277;871;1.828;1.960;0.191;47;8.5;0.00174;0.759;
SCI EDUC;0036-8326;2348;1.775;2.316;0.444;45;9.7;0.00442;1.072;
SOCIOL EDUC;0038-0407;1622;1.750;2.725;0.294;17;>10.0;0.00224;1.530;
LANG LEARN TECHNOL;1094-3501;449;1.741;2.465;0.071;14;7.4;0.00107;0.821;
EARLY CHILD RES Q;0885-2006;1166;1.671;2.610;0.256;43;7.8;0.00400;1.268;
HEALTH EDUC RES;0268-1153;2972;1.656;2.570;0.419;86;7.4;0.00692;0.831;
AIDS EDUC PREV;0899-9546;1535;1.589;2.209;0.075;53;7.6;0.00342;0.750;
J ENG EDUC;1069-4730;888;1.569;2.020;0.708;24;6.8;0.00131;0.487;
REV RES EDUC;0091-732X;513;1.545;2.583;;;>10.0;0.00133;1.507;
AUSTRALAS J EDUC TEC;1449-3098;438;1.517;;0.133;75;3.4;0.00099;;
BRIT EDUC RES J;0141-1926;902;1.495;1.559;0.143;49;7.5;0.00319;0.792;
J COMPUT ASSIST LEAR;0266-4909;769;1.464;1.760;0.000;44;6.2;0.00196;0.525;
J AM COLL HEALTH;0744-8481;1726;1.450;2.286;0.107;84;6.9;0.00382;0.677;
READ WRIT;0922-4777;1119;1.444;1.945;0.143;49;8.6;0.00317;0.795;
STUD SCI EDUC;0305-7267;253;1.400;;0.000;6;>10.0;0.00046;;
RES HIGH EDUC;0361-0365;1320;1.387;1.826;0.200;40;9.5;0.00288;0.854;
EDUC EVAL POLICY AN;0162-3737;878;1.378;1.811;0.042;24;>10.0;0.00233;1.413;
MIND BRAIN EDUC;1751-2271;147;1.348;;0.074;27;3.4;0.00079;;
RES SCI EDUC;0157-244X;537;1.342;1.691;0.150;40;6.5;0.00189;0.692;
J SCHOOL HEALTH;0022-4391;1746;1.337;1.910;0.147;102;6.8;0.00407;0.553;
REV HIGH EDUC;0162-5748;508;1.324;2.073;0.421;19;8.6;0.00184;1.221;
TEACH TEACH EDUC;0742-051X;2530;1.322;1.675;0.260;127;6.6;0.00546;0.446;
J RES READ;0141-0423;492;1.250;1.504;0.308;26;6.8;0.00147;0.642;
MINERVA;0026-4695;386;1.244;1.000;0.136;22;8.7;0.00092;0.450;
INT J SCI EDUC;0950-0693;2540;1.232;1.721;0.202;99;8.5;0.00527;0.631;
SECOND LANG RES;0267-6583;536;1.219;1.927;0.652;23;>10.0;0.00097;0.646;
LANG LEARN;0023-8333;1301;1.218;1.831;0.178;45;>10.0;0.00276;0.908;
J EDUC POLICY;0268-0939;641;1.189;1.232;0.156;45;6.9;0.00187;0.492;
ELEM SCHOOL J;0013-5984;1013;1.172;1.514;0.367;30;>10.0;0.00222;0.878;
INTERACT LEARN ENVIR;1049-4820;199;1.163;1.165;0.062;32;5.1;0.00053;0.297;
J GEOGR HIGHER EDUC;0309-8265;503;1.156;1.416;0.216;37;6.8;0.00063;0.232;
BMC MED EDUC;1472-6920;668;1.152;;0.019;105;4.5;0.00313;;
