JCR Year and Edition: 2012 Social Science

Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
REV EDUC RES;0034-6543;3762;4.229;5.910;0.308;13;>10.0;0.00658;3.086;
LEARN INSTR;0959-4752;2108;3.337;3.621;0.667;42;7.1;0.00548;1.336;
AM EDUC RES J;0002-8312;2656;3.104;3.760;0.150;40;>10.0;0.00664;2.277;
J LEARN SCI;1050-8406;1154;3.036;3.110;2.200;15;8.9;0.00163;1.280;
ACAD MANAG LEARN EDU;1537-260X;885;3.000;3.598;0.150;40;5.5;0.00267;1.160;
EDUC RESEARCHER;0013-189X;2639;2.779;;0.500;32;>10.0;0.00610;;
COMPUT EDUC;0360-1315;4668;2.775;3.305;0.504;238;4.0;0.01326;0.711;
EDUC RES REV-NETH;1747-938X;148;2.586;;0.143;14;2.9;0.00100;;
J RES SCI TEACH;0022-4308;3895;2.552;3.227;0.490;49;>10.0;0.00531;1.130;
READ RES QUART;0034-0553;1509;2.382;2.557;0.286;21;>10.0;0.00257;1.520;
SCI EDUC;0036-8326;2711;2.382;2.712;0.500;44;>10.0;0.00435;1.121;
EARLY CHILD RES Q;0885-2006;1546;2.275;3.448;0.150;60;7.1;0.00416;1.302;
REV RES EDUC;0091-732X;538;2.111;2.354;0.083;12;>10.0;0.00135;1.606;
ADV HEALTH SCI EDUC;1382-4996;1049;2.061;2.606;0.538;39;4.6;0.00410;0.975;
INTERNET HIGH EDUC;1096-7516;643;2.013;;0.156;32;6.5;0.00148;;
J ENG EDUC;1069-4730;880;1.925;1.924;0.345;29;7.5;0.00167;0.660;
INT J COMP-SUPP COLL;1556-1607;377;1.717;2.904;0.280;25;4.4;0.00137;0.755;
SOCIOL EDUC;0038-0407;1614;1.697;2.667;0.500;20;>10.0;0.00228;1.610;
BRIT EDUC RES J;0141-1926;1094;1.660;1.680;0.180;50;7.8;0.00312;0.784;
J COMPUT ASSIST LEAR;0266-4909;963;1.632;2.095;0.143;42;6.5;0.00269;0.729;
J TEACH EDUC;0022-4871;1016;1.627;2.344;0.522;23;9.2;0.00319;1.211;
HEALTH EDUC RES;0268-1153;3184;1.615;2.442;0.283;92;7.6;0.00659;0.838;
INSTR SCI;0020-4277;957;1.568;2.000;0.358;53;8.4;0.00178;0.656;
J RES MATH EDUC;0021-8251;958;1.552;2.080;0.167;18;>10.0;0.00118;0.778;
PHYS REV SPEC TOP-PH;1554-9178;371;1.529;2.132;0.318;44;3.9;0.00116;0.514;
METACOGN LEARN;1556-1623;222;1.516;;0.077;13;4.5;0.00119;;
J SCHOOL HEALTH;0022-4391;1928;1.495;2.014;0.108;74;6.7;0.00446;0.607;
EDUC EVAL POLICY AN;0162-3737;1053;1.489;2.531;0.167;24;>10.0;0.00334;1.952;
AIDS EDUC PREV;0899-9546;1636;1.484;2.069;0.071;42;8.1;0.00299;0.698;
SCI STUD READ;1088-8438;1006;1.422;3.124;0.269;26;7.7;0.00229;1.354;
BMC MED EDUC;1472-6920;919;1.409;;0.090;122;4.5;0.00337;;
LANG LEARN TECHNOL;1094-3501;525;1.379;2.205;0.000;14;8.2;0.00117;0.920;
AUSTRALAS J EDUC TEC;1449-3098;553;1.363;1.540;0.306;85;3.7;0.00142;0.309;
REV HIGH EDUC;0162-5748;476;1.351;1.651;0.115;26;8.9;0.00130;0.865;
INT J SCI EDUC;0950-0693;2981;1.340;1.795;0.190;116;8.6;0.00475;0.567;
LANG LEARN;0023-8333;1525;1.318;1.824;0.458;59;>10.0;0.00252;0.773;
BRIT J EDUC TECHNOL;0007-1013;1363;1.313;1.888;0.162;105;5.1;0.00399;0.524;
STUD SCI EDUC;0305-7267;293;1.308;;0.000;6;>10.0;0.00054;;
INTERACT LEARN ENVIR;1049-4820;265;1.302;1.491;0.125;32;4.6;0.00083;0.426;
TEACH TEACH EDUC;0742-051X;2740;1.264;1.594;0.339;112;7.2;0.00627;0.506;
J AM COLL HEALTH;0744-8481;1861;1.250;1.991;0.333;72;7.5;0.00375;0.613;
J EDUC POLICY;0268-0939;827;1.217;1.453;0.182;44;7.5;0.00253;0.676;
EDUC ADMIN QUART;0013-161X;622;1.213;1.704;0.217;23;9.6;0.00144;0.766;
ELEM SCHOOL J;0013-5984;1082;1.203;1.716;0.250;24;>10.0;0.00239;0.970;
