JCR Year and Edition: 2011 Social Science

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
MIS QUART;0276-7783;6761;4.447;7.497;0.700;50;>10.0;0.00977;2.911;
J INFORMETR;1751-1577;709;4.229;3.944;1.098;61;2.0;0.00400;1.346;
J AM MED INFORM ASSN;1067-5027;4071;3.609;4.329;0.706;153;5.5;0.01361;1.505;
ANNU REV INFORM SCI;0066-4200;462;2.955;2.984;1.182;11;7.9;0.00142;1.232;
J INF TECHNOL;0268-3962;967;2.321;3.000;0.789;19;7.0;0.00268;1.036;
INT J COMP-SUPP COLL;1556-1607;302;2.243;3.000;0.571;28;3.8;0.00134;0.769;
INFORM MANAGE-AMSTER;0378-7206;3282;2.214;3.796;0.114;44;7.5;0.00506;0.938;
J COMPUT-MEDIAT COMM;1083-6101;1744;2.172;4.568;0.095;21;4.9;0.00801;1.747;
INFORM SYST RES;1047-7047;3286;2.146;4.131;0.234;47;9.9;0.00570;2.030;
J AM SOC INF SCI TEC;1532-2882;4295;2.081;2.113;0.425;186;6.9;0.01311;0.782;
INFORM SYST J;1350-1917;694;2.067;2.775;1.143;21;6.5;0.00176;0.942;
SCIENTOMETRICS;0138-9130;4048;1.966;2.443;0.378;217;5.9;0.01008;0.680;
MIS Q EXEC;1540-1960;234;1.743;;0.125;16;4.5;0.00114;;
J ASSOC INF SYST;1536-9323;620;1.667;2.654;0.071;28;4.8;0.00317;1.128;
LIBR INFORM SCI RES;0740-8188;539;1.625;1.755;0.189;37;6.5;0.00179;0.702;
J HEALTH COMMUN;1081-0730;1419;1.608;2.351;0.798;109;5.6;0.00483;0.864;
TELECOMMUN POLICY;0308-5961;822;1.539;1.680;0.066;76;5.9;0.00190;0.420;
INT J INFORM MANAGE;0268-4012;862;1.532;1.764;0.210;62;6.3;0.00139;0.331;
EUR J INFORM SYST;0960-085X;972;1.500;2.218;0.093;43;5.7;0.00304;0.708;
INT J GEOGR INF SCI;1365-8816;1906;1.472;1.848;0.204;103;9.0;0.00405;0.657;
J STRATEGIC INF SYST;0963-8687;652;1.457;2.000;0.207;29;9.1;0.00100;0.662;
GOV INFORM Q;0740-624X;585;1.425;1.662;0.327;52;4.7;0.00143;0.365;
J MANAGE INFORM SYST;0742-1222;2530;1.423;2.945;0.050;40;9.4;0.00406;1.101;
J INF SCI;0165-5515;807;1.299;1.686;0.157;51;5.9;0.00274;0.617;
J KNOWL MANAG;1367-3270;1072;1.248;;0.158;57;7.1;0.00121;;
INFORM SOC;0197-2243;623;1.235;1.576;0.000;17;8.0;0.00139;0.606;
INFORM PROCESS MANAG;0306-4573;1647;1.119;1.443;0.250;64;7.8;0.00518;0.656;
SOC SCI COMPUT REV;0894-4393;560;1.075;1.166;0.257;35;7.6;0.00169;0.565;
J DOC;0022-0418;893;1.058;1.365;0.256;43;>10.0;0.00220;0.590;
SERIALS REV;0098-7913;142;1.048;0.852;0.182;22;4.0;0.00059;0.299;
J MED LIBR ASSOC;1536-5050;548;0.988;1.180;0.333;42;5.7;0.00187;0.408;
ONLINE INFORM REV;1468-4527;398;0.939;1.246;0.083;48;3.9;0.00154;0.333;
HEALTH INFO LIBR J;1471-1834;323;0.889;1.016;0.895;38;4.5;0.00107;0.304;
LEARN PUBL;0953-1513;191;0.887;0.690;0.783;23;5.1;0.00073;0.275;
RES EVALUAT;0958-2029;389;0.845;1.359;0.622;37;5.3;0.00127;0.477;
COLL RES LIBR;0010-0870;405;0.825;0.873;0.167;30;8.7;0.00109;0.380;
LIBR QUART;0024-2519;287;0.789;0.810;0.059;17;10.0;0.00080;0.413;
INFORM RES;1368-1613;475;0.775;0.921;0.043;46;5.6;0.00162;0.316;
PORTAL-LIBR ACAD;1531-2542;224;0.750;0.911;0.167;24;5.8;0.00093;0.411;
INFORM ORGAN-UK;1471-7727;189;0.667;;0.364;11;6.1;0.00062;;
