JCR Year and Edition: 2012 Social Science

Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
PERS SOC PSYCHOL REV;1088-8683;2926;8.195;9.844;0.882;17;8.0;0.00923;5.869;
ADV EXP SOC PSYCHOL;0065-2601;3133;5.000;7.250;0.500;12;>10.0;0.00267;4.240;
J PERS SOC PSYCHOL;0022-3514;49689;4.877;6.988;0.681;141;>10.0;0.04822;3.677;
J HEALTH SOC BEHAV;0022-1465;5554;3.333;4.025;0.226;31;>10.0;0.00517;1.828;
ORGAN BEHAV HUM DEC;0749-5978;7282;2.816;4.024;0.231;65;>10.0;0.01105;2.583;
J PERS;0022-3506;5152;2.730;3.554;0.879;58;>10.0;0.00891;1.791;
SOC PSYCHOL QUART;0190-2725;2036;2.543;2.737;0.188;16;>10.0;0.00303;1.754;
EUR J PERSONALITY;0890-2070;1691;2.521;3.420;0.524;63;8.2;0.00512;1.685;
LAW HUMAN BEHAV;0147-7307;2208;2.388;2.750;0.286;56;>10.0;0.00375;1.075;
RES LANG SOC INTERAC;0835-1813;649;2.387;2.354;2.286;21;8.8;0.00220;1.596;
PERS SOC PSYCHOL B;0146-1672;10018;2.383;3.451;0.282;131;>10.0;0.02079;1.869;
J EXP SOC PSYCHOL;0022-1031;6181;2.219;2.930;0.405;210;8.0;0.02330;1.559;
EUR REV SOC PSYCHOL;1046-3283;239;2.062;4.860;;;4.9;0.00230;3.058;
J RES PERS;0092-6566;3490;2.000;2.664;0.181;94;6.7;0.01268;1.285;
SOC PSYCHOL-GERMANY;1864-9335;211;1.892;1.746;0.462;26;2.5;0.00167;0.837;
J PERS ASSESS;0022-3891;4346;1.874;2.147;0.484;64;>10.0;0.00499;0.820;
CYBERPSYCH BEH SOC N;2152-2715;375;1.842;1.842;0.131;107;2.0;0.00186;0.543;
BRIT J SOC PSYCHOL;0144-6665;2279;1.816;2.671;0.481;54;>10.0;0.00482;1.296;
PERS INDIV DIFFER;0191-8869;11809;1.807;2.359;0.277;361;8.3;0.02546;0.830;
PSYCHOL MEN MASCULIN;1524-9220;571;1.679;;0.097;31;6.0;0.00154;;
EUR J SOC PSYCHOL;0046-2772;3491;1.667;2.221;0.177;96;>10.0;0.00887;1.108;
ANAL SOC ISS PUB POL;1529-7489;231;1.641;;0.205;39;5.0;0.00071;;
CHILD ABUSE NEGLECT;0145-2134;5012;1.610;2.909;0.451;82;9.5;0.00796;0.982;
CULT DIVERS ETHN MIN;1099-9809;1098;1.603;;0.114;44;5.9;0.00341;;
MOTIV EMOTION;0146-7239;1783;1.549;2.034;0.375;48;9.9;0.00261;0.835;
J CROSS CULT PSYCHOL;0022-0221;2835;1.547;2.056;0.369;84;>10.0;0.00453;0.901;
SEX ROLES;0360-0025;4497;1.531;1.801;0.237;114;9.3;0.00803;0.646;
GROUP PROCESS INTERG;1368-4302;1033;1.528;2.183;0.288;52;6.0;0.00456;1.139;
J LANG SOC PSYCHOL;0261-927X;559;1.490;1.349;0.250;24;9.3;0.00118;0.536;
POLIT PSYCHOL;0162-895X;1578;1.418;2.152;0.255;51;8.9;0.00424;1.364;
SELF IDENTITY;1529-8868;558;1.407;1.558;0.034;29;7.8;0.00169;0.752;
J NONVERBAL BEHAV;0191-5886;888;1.344;1.741;0.056;18;>10.0;0.00113;0.801;
J SOC CLIN PSYCHOL;0736-7236;1752;1.330;2.020;0.255;47;8.3;0.00338;0.781;
SOC COGNITION;0278-016X;1615;1.264;2.271;0.429;42;>10.0;0.00489;1.245;
J INDIVID DIFFER;1614-0001;241;1.208;;0.207;29;4.2;0.00128;;
SMALL GR RES;1046-4964;972;1.164;1.604;0.125;32;9.7;0.00195;0.775;
J SOC PERS RELAT;0265-4075;1784;1.131;1.318;0.036;56;>10.0;0.00253;0.523;
