JCR Year and Edition: 2012 Social Science

Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ANNU REV SOCIOL;0360-0572;5512;5.019;6.672;0.280;25;>10.0;0.00999;4.470;
AM SOCIOL REV;0003-1224;11865;4.077;5.563;0.700;40;>10.0;0.01435;3.950;
ANN TOURISM RES;0160-7383;4544;3.683;3.616;0.344;90;>10.0;0.00262;0.589;
AM J SOCIOL;0002-9602;11166;3.414;5.239;0.613;31;>10.0;0.01316;4.009;
SOC NETWORKS;0378-8733;2234;3.381;4.059;0.387;62;>10.0;0.00575;2.150;
SOCIOL METHODOL;0081-1750;1924;3.167;2.662;;;>10.0;0.00224;1.976;
J MARRIAGE FAM;0022-2445;7575;3.006;3.093;0.308;78;>10.0;0.01063;1.422;
J CONSUM CULT;1469-5405;361;2.793;;0.000;17;5.7;0.00148;;
SOCIOL THEOR;0735-2751;1007;2.594;2.345;0.067;15;>10.0;0.00252;1.721;
POPUL DEV REV;0098-7921;1998;2.085;2.396;0.172;29;>10.0;0.00439;1.487;
SOCIO-ECON REV;1475-1461;451;2.059;;0.750;28;4.4;0.00304;;
GENDER SOC;0891-2432;1873;2.000;2.441;0.143;35;>10.0;0.00351;1.388;
CORNELL HOSP Q;1938-9655;364;1.892;2.130;0.188;32;3.2;0.00056;0.210;
GLOBAL NETW;1470-2266;727;1.863;2.266;1.107;28;6.5;0.00277;1.239;
EUR SOCIOL REV;0266-7215;1064;1.860;2.226;0.120;50;6.4;0.00497;1.289;
SOCIOL METHOD RES;0049-1241;1809;1.844;2.477;0.130;23;>10.0;0.00349;1.867;
POLIT SOC;0032-3292;720;1.833;2.301;0.381;21;9.5;0.00272;1.672;
LAW SOC REV;0023-9216;1462;1.828;1.941;0.185;27;>10.0;0.00239;1.012;
SOC PROBL;0037-7791;2536;1.782;2.369;0.125;24;>10.0;0.00362;1.470;
SOCIOL HEALTH ILL;0141-9889;2381;1.735;2.442;0.231;78;9.0;0.00470;0.844;
SOCIOL EDUC;0038-0407;1614;1.697;2.667;0.500;20;>10.0;0.00228;1.610;
BRIT J SOCIOL;0007-1315;1574;1.684;2.194;0.526;38;>10.0;0.00349;1.249;
SOC FORCES;0037-7732;4762;1.672;2.412;0.098;61;>10.0;0.00909;1.588;
BODY SOC;1357-034X;492;1.651;1.342;0.056;18;8.5;0.00144;0.725;
RURAL SOCIOL;0036-0112;1060;1.585;1.991;0.304;23;>10.0;0.00153;0.773;
ECON SOC;0308-5147;1354;1.551;2.031;0.207;29;>10.0;0.00278;1.214;
SOCIOL QUART;0038-0253;1202;1.545;1.631;0.161;31;>10.0;0.00249;0.956;
SOCIOLOGY;0038-0385;2312;1.504;2.161;0.246;69;9.7;0.00662;1.196;
QUAL RES;1468-7941;975;1.487;;0.103;39;7.0;0.00280;;
POETICS;0304-422X;695;1.414;1.701;0.143;28;9.2;0.00190;0.858;
DISCOURSE SOC;0957-9265;872;1.410;1.444;0.062;32;9.9;0.00217;0.822;
INT POLIT SOCIOL;1749-5679;207;1.405;1.942;0.103;29;3.8;0.00210;1.157;
J SCI STUD RELIG;0021-8294;1839;1.396;1.535;0.184;49;>10.0;0.00270;0.683;
BIODEMOGR SOC BIOL;1948-5565;59;1.368;;0.182;11;;0.00050;;
HUM ECOL;0300-7839;1421;1.361;2.174;0.186;70;6.6;0.00365;0.713;
AGR HUM VALUES;0889-048X;790;1.355;1.658;0.105;38;7.4;0.00180;0.559;
REV CERCET INTERV SO;1583-3410;150;1.354;;0.233;43;1.9;0.00020;;
WORK OCCUPATION;0730-8884;712;1.324;1.671;0.167;18;>10.0;0.00108;0.751;
J SPORT SOC ISSUES;0193-7235;455;1.300;1.280;0.095;21;9.7;0.00103;0.588;
SOC SCI RES;0049-089X;1817;1.266;1.949;0.274;113;6.5;0.00768;1.072;
SOC INDIC RES;0303-8300;2834;1.264;1.510;0.181;155;7.2;0.00747;0.568;
WORK EMPLOY SOC;0950-0170;1128;1.255;1.965;0.018;57;7.8;0.00257;0.727;
SOCIOL INQ;0038-0245;626;1.241;1.124;0.179;28;>10.0;0.00133;0.592;
CHINESE SOCIOL REV;2162-0555;11;1.222;1.222;0.000;7;;0.00004;0.253;
J LAW SOC;0263-323X;405;1.220;1.143;0.375;24;7.8;0.00158;0.679;
DU BOIS REV;1742-058X;166;1.174;;0.000;23;5.1;0.00104;;
ETHNIC RACIAL STUD;0141-9870;1489;1.169;1.474;0.322;115;7.9;0.00443;0.732;
INT REV SOCIOL SPORT;1012-6902;470;1.125;;0.119;42;9.3;0.00113;;
MEDIA CULT SOC;0163-4437;764;1.092;1.149;0.094;53;7.9;0.00196;0.505;
SCAND J HOSP TOUR;1502-2250;176;1.089;1.026;0.000;20;4.8;0.00034;0.169;
ANNU REV LAW SOC SCI;1550-3585;292;1.080;2.048;0.000;23;5.1;0.00208;1.146;
SOCIOL RELIG;1069-4404;476;1.079;1.333;0.235;17;>10.0;0.00104;0.619;
SOC NATUR RESOUR;0894-1920;1712;1.034;1.518;0.198;91;7.9;0.00321;0.501;
SOCIOL RURALIS;0038-0199;883;1.022;1.850;0.125;24;>10.0;0.00117;0.593;
LEISURE SCI;0149-0400;926;1.018;1.617;0.067;30;>10.0;0.00119;0.482;
ANTHROZOOS;0892-7936;528;1.000;1.419;0.025;40;9.3;0.00066;0.303;
J SOCIOL;1440-7833;344;1.000;1.308;0.045;22;6.9;0.00110;0.587;
BRIT J SOCIOL EDUC;0142-5692;808;0.976;1.039;0.068;44;8.9;0.00204;0.502;
INT J INTERCULT REL;0147-1767;1308;0.940;1.322;0.149;74;9.3;0.00230;0.494;
SOC SCI QUART;0038-4941;2044;0.930;1.407;0.070;71;9.6;0.00542;0.853;
LANG SOC;0047-4045;856;0.929;1.277;0.143;21;>10.0;0.00167;0.947;
RES SOC STRAT MOBIL;0276-5624;205;0.904;;0.387;31;6.0;0.00100;;
YOUTH SOC;0044-118X;675;0.897;1.438;0.148;27;8.5;0.00164;0.588;
J MATH SOCIOL;0022-250X;574;0.875;0.738;0.273;11;>10.0;0.00052;0.490;
HUM ECOL REV;1074-4827;294;0.871;1.352;0.143;7;8.2;0.00079;0.516;
J LEISURE RES;0022-2216;1313;0.870;1.462;0.042;24;>10.0;0.00100;0.399;
